Market Price Type,Center,Variety Name,Grade,Unit,Max Price,Average Price,Min Price
Wholesale Price,KINTA,TELUR AYAM,C,BIJI,.39,.39,.39
Wholesale Price,KINTA,TEMBIKAI MERAH TANPA BIJI,F.A.Q,KG,4.00,4.00,3.50
Wholesale Price,KINTA,TERUNG PANJANG / PEPARU (TANAH RENDAH),F.A.Q,KG,7.50,7.00,7.00
Wholesale Price,KINTA,TIMUN HIJAU ,F.A.Q,KG,4.50,4.50,4.00
Wholesale Price,KINTA,TOMATO (TANAH TINGGI),F.A.Q,KG,4.50,4.00,4.00
Wholesale Price,PERLIS,UBI KENTANG HOLLAND,F.A.Q,KG,3.00,3.00,3.00
Wholesale Price,PERLIS,AYAM PROSES STANDARD,F.A.Q,KG,8.90,8.90,8.90
Wholesale Price,PERLIS,AYAM PROSES SUPER,F.A.Q,KG,9.90,9.90,9.90
Wholesale Price,PERLIS,BAWANG BESAR KUNING / HOLLAND,F.A.Q,KG,4.50,4.50,4.50
Wholesale Price,PERLIS,BAWANG BESAR MERAH (IMPORT),F.A.Q,KG,4.00,4.00,4.00
Wholesale Price,PERLIS,BAWANG BESAR MERAH (INDIA),F.A.Q,KG,4.00,4.00,4.00
Wholesale Price,PERLIS,BAWANG MERAH / KECIL (IMPORT),F.A.Q,KG,6.00,5.00,5.00
Wholesale Price,PERLIS,BAWANG MERAH / KECIL (INDIA),F.A.Q,KG,8.00,8.00,8.00
Wholesale Price,PERLIS,BAWANG MERAH ROSE,F.A.Q,KG,10.00,10.00,10.00
Wholesale Price,PERLIS,BAWANG PUTIH (CHINA),F.A.Q,KG,8.50,8.50,8.50
Wholesale Price,PERLIS,BAYAM ,F.A.Q,KG,5.00,5.00,5.00
Wholesale Price,PERLIS,BELIMBING (B10),F.A.Q,KG,8.00,8.00,8.00
Wholesale Price,PERLIS,BETIK SEKAKI,F.A.Q,KG,5.00,5.00,5.00
Wholesale Price,PERLIS,BUNGA KANTAN,F.A.Q,TANGKAI,1.50,1.50,1.50
Wholesale Price,PERLIS,CILI MERAH (THAILAND),F.A.Q,KG,15.00,15.00,15.00
Wholesale Price,PERLIS,CILI MERAH KULAI / KULAI HIBRID,F.A.Q,KG,20.00,18.00,18.00
Wholesale Price,PERLIS,DAUN BAWANG,F.A.Q,KG,12.00,10.00,10.00
Wholesale Price,PERLIS,DAUN SUP (TANAH TINGGI),F.A.Q,KG,14.00,13.00,12.00
Wholesale Price,PERLIS,KACANG BENDI,F.A.Q,KG,7.00,7.00,7.00
Wholesale Price,PERLIS,KACANG BUNCIS,F.A.Q,KG,15.00,15.00,15.00
Wholesale Price,PERLIS,KACANG PANJANG HIJAU,F.A.Q,KG,6.00,6.00,6.00
Wholesale Price,PERLIS,KANGKUNG,F.A.Q,KG,7.00,7.00,6.50
Wholesale Price,PERLIS,KELAPA DIKUPAS,SEDANG,BIJI,2.00,2.00,2.00
Wholesale Price,PERLIS,KELAPA PARUT,F.A.Q,KG,6.00,6.00,6.00
Wholesale Price,PERLIS,KETOLA / PETOLA SEGI,F.A.Q,KG,4.50,4.50,4.50
Wholesale Price,PERLIS,KUBIS BULAT (CHINA),F.A.Q,KG,4.00,4.00,4.00
Wholesale Price,PERLIS,PISANG BERANGAN,F.A.Q,KG,6.00,6.00,6.00
Wholesale Price,PERLIS,PISANG MAS,F.A.Q,KG,6.00,6.00,6.00
Wholesale Price,PERLIS,SANTAN PEKAT,F.A.Q,KG,10.00,10.00,10.00
Wholesale Price,PERLIS,SAWI HIJAU,F.A.Q,KG,8.00,8.00,8.00
Wholesale Price,PERLIS,TELUR AYAM,B,BIJI,.41,.41,.41
Wholesale Price,PERLIS,TELUR AYAM,C,BIJI,.39,.39,.39
Wholesale Price,PERLIS,TEMBIKAI MERAH,F.A.Q,KG,4.00,4.00,4.00
Wholesale Price,PERLIS,TERUNG PANJANG / PEPARU (TANAH RENDAH),F.A.Q,KG,5.50,5.50,5.50
Wholesale Price,PERLIS,TIMUN HIJAU ,F.A.Q,KG,5.00,5.00,5.00
Wholesale Price,PERLIS,TOMATO (TANAH TINGGI),F.A.Q,KG,6.00,5.50,5.50
Wholesale Price,GOMBAK,UBI KENTANG HOLLAND,F.A.Q,KG,3.00,3.00,3.00
Wholesale Price,GOMBAK,AYAM PROSES STANDARD,F.A.Q,KG,9.70,9.65,9.60
Wholesale Price,GOMBAK,BAWANG BESAR KUNING / HOLLAND,F.A.Q,KG,4.00,4.00,4.00
Wholesale Price,GOMBAK,BAWANG BESAR MERAH (IMPORT),F.A.Q,KG,3.50,3.50,3.50
Wholesale Price,GOMBAK,BAWANG BESAR MERAH (INDIA),F.A.Q,KG,4.00,4.00,4.00
Wholesale Price,GOMBAK,BAWANG MERAH / KECIL (IMPORT),F.A.Q,KG,5.00,5.00,5.00
Wholesale Price,GOMBAK,BAWANG MERAH / KECIL (INDIA),F.A.Q,KG,7.00,7.00,7.00
Wholesale Price,GOMBAK,BAWANG MERAH / KECIL (THAI),F.A.Q,KG,10.00,9.90,9.80
Wholesale Price,GOMBAK,BAWANG MERAH ROSE,F.A.Q,KG,9.00,8.80,7.00
Wholesale Price,GOMBAK,BAWANG PUTIH (CHINA),F.A.Q,KG,10.00,9.25,8.50
Wholesale Price,GOMBAK,BAYAM ,F.A.Q,KG,5.00,4.75,4.50
Wholesale Price,GOMBAK,BELIMBING (B10),F.A.Q,KG,6.00,6.00,6.00
Wholesale Price,GOMBAK,BETIK SEKAKI,F.A.Q,KG,6.00,6.00,6.00
Wholesale Price,GOMBAK,BUNGA KANTAN,F.A.Q,TANGKAI,1.20,1.10,1.00
Wholesale Price,GOMBAK,CILI HIJAU,F.A.Q,KG,12.00,11.00,10.00
Wholesale Price,GOMBAK,CILI MERAH (THAILAND),F.A.Q,KG,12.00,12.00,12.00
Wholesale Price,GOMBAK,CILI MERAH KULAI / KULAI HIBRID,F.A.Q,KG,16.00,15.00,14.00
Wholesale Price,GOMBAK,CILI MERAH MINYAK,F.A.Q,KG,13.00,12.50,12.00
Wholesale Price,GOMBAK,DAUN BAWANG,F.A.Q,KG,8.00,7.50,7.00
Wholesale Price,GOMBAK,DAUN SUP (TANAH TINGGI),F.A.Q,KG,13.00,12.00,11.00
Wholesale Price,GOMBAK,KACANG BENDI,F.A.Q,KG,13.00,12.50,12.00
Wholesale Price,GOMBAK,KACANG BUNCIS,F.A.Q,KG,15.00,14.50,14.00
Wholesale Price,GOMBAK,KACANG PANJANG HIJAU,F.A.Q,KG,14.00,13.50,13.00
Wholesale Price,GOMBAK,KANGKUNG,F.A.Q,KG,4.50,4.50,4.50
Wholesale Price,GOMBAK,KELAPA DIKUPAS,SEDANG,BIJI,2.30,2.30,2.30
Wholesale Price,GOMBAK,KELAPA PARUT,F.A.Q,KG,8.00,7.50,7.00
Wholesale Price,GOMBAK,KETOLA / PETOLA SEGI,F.A.Q,KG,7.00,7.00,7.00
Wholesale Price,GOMBAK,KUBIS BULAT (CHINA),F.A.Q,KG,3.50,3.50,3.50
Wholesale Price,GOMBAK,KUBIS BULAT (INDONESIA),F.A.Q,KG,3.00,3.00,3.00
Wholesale Price,GOMBAK,KUBIS BULAT (TANAH TINGGI),F.A.Q,KG,6.00,6.00,6.00
Wholesale Price,GOMBAK,PISANG BERANGAN,F.A.Q,KG,5.00,5.00,5.00
Wholesale Price,GOMBAK,PISANG MAS,F.A.Q,KG,6.00,6.00,6.00
Wholesale Price,GOMBAK,SANTAN BIASA,F.A.Q,KG,5.00,4.50,4.00
Wholesale Price,GOMBAK,SANTAN PEKAT,F.A.Q,KG,12.00,12.00,12.00
Wholesale Price,GOMBAK,SAWI HIJAU,F.A.Q,KG,9.00,8.75,8.50
Wholesale Price,GOMBAK,TELUR AYAM,A,BIJI,.43,.43,.43
Wholesale Price,GOMBAK,TELUR AYAM,B,BIJI,.41,.41,.41
Wholesale Price,GOMBAK,TELUR AYAM,C,BIJI,.39,.39,.39
Wholesale Price,GOMBAK,TEMBIKAI MERAH TANPA BIJI,F.A.Q,KG,3.50,3.50,3.50
Wholesale Price,GOMBAK,TERUNG PANJANG / PEPARU (TANAH RENDAH),F.A.Q,KG,9.00,8.50,8.00
Wholesale Price,GOMBAK,TIMUN HIJAU ,F.A.Q,KG,6.00,6.00,6.00
Wholesale Price,GOMBAK,TOMATO (TANAH TINGGI),F.A.Q,KG,4.50,4.30,4.00
Wholesale Price,KLANG,UBI KENTANG HOLLAND,F.A.Q,KG,4.00,3.90,3.80
Wholesale Price,KLANG,AYAM HIDUP,F.A.Q,KG,7.50,7.25,7.00
Wholesale Price,KLANG,AYAM PROSES STANDARD,F.A.Q,KG,8.90,8.90,8.90
Wholesale Price,KLANG,BAWANG BESAR KUNING / HOLLAND,F.A.Q,KG,4.00,3.95,3.90
Wholesale Price,KLANG,BAWANG BESAR MERAH (IMPORT),F.A.Q,KG,3.90,3.90,3.90
Wholesale Price,KLANG,BAWANG BESAR MERAH (INDIA),F.A.Q,KG,4.00,4.00,4.00
Wholesale Price,KLANG,BAWANG MERAH / KECIL (INDIA),F.A.Q,KG,5.00,4.90,4.80
Wholesale Price,KLANG,BAWANG MERAH / KECIL (THAI),F.A.Q,KG,9.80,9.80,9.80
Wholesale Price,KLANG,BAWANG MERAH ROSE,F.A.Q,KG,7.00,6.75,6.50
Wholesale Price,KLANG,BAWANG PUTIH (CHINA),F.A.Q,KG,8.50,8.50,8.50
Wholesale Price,KLANG,BAYAM ,F.A.Q,KG,3.50,3.25,3.00
Wholesale Price,KLANG,BELIMBING (B10),F.A.Q,KG,7.00,6.50,6.00
Wholesale Price,KLANG,BETIK SEKAKI,F.A.Q,KG,4.00,3.75,3.50
Wholesale Price,KLANG,BUNGA KANTAN,F.A.Q,TANGKAI,1.50,1.40,1.30
Wholesale Price,KLANG,CILI HIJAU,F.A.Q,KG,10.00,9.50,9.00
Wholesale Price,KLANG,CILI MERAH (IMPORT),F.A.Q,KG,12.00,11.50,11.00
Wholesale Price,KLANG,CILI MERAH KULAI / KULAI HIBRID,F.A.Q,KG,15.00,14.50,14.00
Wholesale Price,KLANG,DAUN BAWANG,F.A.Q,KG,10.00,9.50,9.00
Wholesale Price,KLANG,DAUN SUP (TANAH TINGGI),F.A.Q,KG,11.00,10.50,10.00
Wholesale Price,KLANG,KACANG BENDI,F.A.Q,KG,9.00,8.50,8.00
Wholesale Price,KLANG,KACANG BUNCIS,F.A.Q,KG,12.00,11.50,11.00
Wholesale Price,KLANG,KACANG PANJANG HIJAU,F.A.Q,KG,11.00,10.50,10.00
Wholesale Price,KLANG,KANGKUNG,F.A.Q,KG,3.50,3.25,3.00
Wholesale Price,KLANG,KELAPA DIKUPAS,SEDANG,BIJI,2.50,2.50,2.50
Wholesale Price,KLANG,KELAPA PARUT,F.A.Q,KG,9.00,8.50,8.00
Wholesale Price,KLANG,KETOLA / PETOLA SEGI,F.A.Q,KG,6.00,5.50,5.00
Wholesale Price,KLANG,KUBIS BULAT (CHINA),F.A.Q,KG,3.50,3.25,3.00
Wholesale Price,KLANG,KUBIS BULAT (TANAH TINGGI),F.A.Q,KG,4.50,4.25,4.00
Wholesale Price,KLANG,PISANG BERANGAN,F.A.Q,KG,3.50,3.25,3.00
Wholesale Price,KLANG,PISANG MAS,F.A.Q,KG,4.00,3.75,3.50
Wholesale Price,KLANG,SANTAN BIASA,F.A.Q,KG,8.00,8.00,8.00
Wholesale Price,KLANG,SANTAN PEKAT,F.A.Q,KG,15.00,15.00,15.00
Wholesale Price,KLANG,SAWI HIJAU,F.A.Q,KG,8.00,7.50,7.00
Wholesale Price,KLANG,TELUR AYAM,A,BIJI,.43,.43,.43
Wholesale Price,KLANG,TELUR AYAM,B,BIJI,.41,.41,.41
Wholesale Price,KLANG,TELUR AYAM,C,BIJI,.39,.39,.39
Wholesale Price,KLANG,TEMBIKAI MERAH TANPA BIJI,F.A.Q,KG,3.80,3.65,3.50
Wholesale Price,KLANG,TERUNG PANJANG / PEPARU (TANAH RENDAH),F.A.Q,KG,9.00,8.50,8.00
Wholesale Price,KLANG,TIMUN HIJAU ,F.A.Q,KG,6.00,5.50,5.00
Wholesale Price,KLANG,TOMATO (TANAH TINGGI),F.A.Q,KG,4.00,3.90,3.80
Wholesale Price,PETALING,UBI KENTANG HOLLAND,F.A.Q,KG,4.00,3.90,3.80
Wholesale Price,PETALING,AYAM PROSES STANDARD,F.A.Q,KG,11.50,11.00,10.50
Wholesale Price,PETALING,BAWANG BESAR KUNING / HOLLAND,F.A.Q,KG,4.50,4.25,4.00
Wholesale Price,PETALING,BAWANG BESAR MERAH (IMPORT),F.A.Q,KG,4.00,4.00,4.00
Wholesale Price,PETALING,BAWANG BESAR MERAH (INDIA),F.A.Q,KG,4.00,4.00,4.00
Wholesale Price,PETALING,BAWANG MERAH / KECIL (IMPORT),F.A.Q,KG,5.00,5.00,5.00
Wholesale Price,PETALING,BAWANG MERAH / KECIL (INDIA),F.A.Q,KG,6.00,6.00,6.00
Wholesale Price,PETALING,BAWANG MERAH / KECIL (THAI),F.A.Q,KG,12.00,10.00,8.00
Wholesale Price,PETALING,BAWANG MERAH ROSE,F.A.Q,KG,12.00,10.00,8.00
Wholesale Price,PETALING,BAWANG PUTIH (CHINA),F.A.Q,KG,8.00,8.00,8.00
Wholesale Price,PETALING,BAYAM ,F.A.Q,KG,5.50,5.25,5.00
Wholesale Price,PETALING,BELIMBING (B10),F.A.Q,KG,7.00,6.50,6.00
Wholesale Price,PETALING,BETIK SEKAKI,F.A.Q,KG,4.00,4.00,4.00
Wholesale Price,PETALING,BUNGA KANTAN,F.A.Q,TANGKAI,1.50,1.50,1.50
Wholesale Price,PETALING,CILI HIJAU,F.A.Q,KG,10.00,9.75,9.50
Wholesale Price,PETALING,CILI MERAH KULAI / KULAI HIBRID,F.A.Q,KG,14.00,14.00,14.00
Wholesale Price,PETALING,CILI MERAH MINYAK,F.A.Q,KG,13.00,13.00,13.00
Wholesale Price,PETALING,DAUN BAWANG,F.A.Q,KG,7.00,7.00,7.00
Wholesale Price,PETALING,DAUN SUP (TANAH TINGGI),F.A.Q,KG,13.00,12.50,12.00
Wholesale Price,PETALING,KACANG BENDI,F.A.Q,KG,13.00,12.50,12.00
Wholesale Price,PETALING,KACANG BUNCIS,F.A.Q,KG,15.00,14.50,14.00
Wholesale Price,PETALING,KACANG PANJANG HIJAU,F.A.Q,KG,15.00,15.00,15.00
Wholesale Price,PETALING,KANGKUNG,F.A.Q,KG,5.50,5.25,5.00
Wholesale Price,PETALING,KELAPA DIKUPAS,SEDANG,BIJI,2.50,2.50,2.50
Wholesale Price,PETALING,KELAPA PARUT,F.A.Q,KG,8.00,8.00,8.00
Wholesale Price,PETALING,KETOLA / PETOLA SEGI,F.A.Q,KG,7.50,7.50,7.50
Wholesale Price,PETALING,KUBIS BULAT (CHINA),F.A.Q,KG,3.50,3.35,3.20
Wholesale Price,PETALING,KUBIS BULAT (TANAH TINGGI),F.A.Q,KG,4.50,4.50,4.50
Wholesale Price,PETALING,PISANG BERANGAN,F.A.Q,KG,4.50,4.50,4.50
Wholesale Price,PETALING,PISANG MAS,F.A.Q,KG,4.50,4.50,4.50
Wholesale Price,PETALING,SANTAN BIASA,F.A.Q,KG,4.00,4.00,4.00
Wholesale Price,PETALING,SANTAN PEKAT,F.A.Q,KG,12.00,11.00,10.00
Wholesale Price,PETALING,SAWI HIJAU,F.A.Q,KG,9.00,8.50,8.00
Wholesale Price,PETALING,TELUR AYAM,A,BIJI,.43,.43,.43
Wholesale Price,PETALING,TELUR AYAM,B,BIJI,.41,.41,.41
Wholesale Price,PETALING,TELUR AYAM,C,BIJI,.39,.39,.39
Wholesale Price,PETALING,TEMBIKAI MERAH TANPA BIJI,F.A.Q,KG,3.50,3.50,3.50
Wholesale Price,PETALING,TERUNG PANJANG / PEPARU (TANAH RENDAH),F.A.Q,KG,7.50,7.50,7.50
Wholesale Price,PETALING,TIMUN HIJAU ,F.A.Q,KG,6.00,6.00,6.00
Wholesale Price,PETALING,TOMATO (TANAH TINGGI),F.A.Q,KG,4.50,4.50,4.50
Wholesale Price,KUALA TERENGGANU,UBI KENTANG HOLLAND,F.A.Q,KG,4.00,4.00,4.00
Wholesale Price,KUALA TERENGGANU,AYAM PROSES STANDARD,F.A.Q,KG,11.00,11.00,10.50
Wholesale Price,KUALA TERENGGANU,AYAM PROSES SUPER,F.A.Q,KG,12.00,11.50,11.50
Wholesale Price,KUALA TERENGGANU,BAWANG BESAR KUNING / HOLLAND,F.A.Q,KG,4.50,4.50,4.50
Wholesale Price,KUALA TERENGGANU,BAWANG BESAR MERAH (IMPORT),F.A.Q,KG,4.00,4.00,4.00
Wholesale Price,KUALA TERENGGANU,BAWANG BESAR MERAH (INDIA),F.A.Q,KG,4.00,4.00,4.00
Wholesale Price,KUALA TERENGGANU,BAWANG MERAH / KECIL (IMPORT),F.A.Q,KG,5.00,5.00,4.50
Wholesale Price,KUALA TERENGGANU,BAWANG MERAH / KECIL (INDIA),F.A.Q,KG,5.00,5.00,4.50
Wholesale Price,KUALA TERENGGANU,BAWANG PUTIH (CHINA),F.A.Q,KG,8.50,8.50,8.50
Wholesale Price,KUALA TERENGGANU,BAYAM ,F.A.Q,KG,8.00,7.00,7.00
Wholesale Price,KUALA TERENGGANU,BETIK SEKAKI,F.A.Q,KG,6.00,5.00,5.00
Wholesale Price,KUALA TERENGGANU,BUNGA KANTAN,F.A.Q,TANGKAI,2.50,2.00,2.00
Wholesale Price,KUALA TERENGGANU,CILI MERAH KULAI / KULAI HIBRID,F.A.Q,KG,15.00,14.00,14.00
Wholesale Price,KUALA TERENGGANU,DAUN BAWANG,F.A.Q,KG,10.00,10.00,9.00
Wholesale Price,KUALA TERENGGANU,DAUN SUP (TANAH TINGGI),F.A.Q,KG,12.00,10.00,10.00
Wholesale Price,KUALA TERENGGANU,KACANG BENDI,F.A.Q,KG,14.00,13.00,11.00
Wholesale Price,KUALA TERENGGANU,KACANG BUNCIS,F.A.Q,KG,12.00,12.00,11.00
Wholesale Price,KUALA TERENGGANU,KACANG PANJANG HIJAU,F.A.Q,KG,9.00,9.00,8.00
Wholesale Price,KUALA TERENGGANU,KANGKUNG,F.A.Q,KG,7.00,6.00,5.00
Wholesale Price,KUALA TERENGGANU,KELAPA DIKUPAS,SEDANG,BIJI,3.00,2.50,2.50
Wholesale Price,KUALA TERENGGANU,KELAPA PARUT,F.A.Q,KG,8.00,7.50,7.50
Wholesale Price,KUALA TERENGGANU,KETOLA / PETOLA SEGI,F.A.Q,KG,6.00,6.00,5.00
Wholesale Price,KUALA TERENGGANU,KUBIS BULAT (CHINA),F.A.Q,KG,6.00,5.00,5.00
Wholesale Price,KUALA TERENGGANU,KUBIS BULAT (TANAH TINGGI),F.A.Q,KG,5.00,5.00,4.00
Wholesale Price,KUALA TERENGGANU,PISANG BERANGAN,F.A.Q,KG,6.50,5.00,5.00
Wholesale Price,KUALA TERENGGANU,PISANG MAS,F.A.Q,KG,6.00,6.00,5.00
Wholesale Price,KUALA TERENGGANU,SANTAN PEKAT,F.A.Q,KG,11.00,10.00,10.00
Wholesale Price,KUALA TERENGGANU,SAWI HIJAU,F.A.Q,KG,8.00,8.00,7.00
Wholesale Price,KUALA TERENGGANU,TELUR AYAM,A,BIJI,.45,.45,.45
Wholesale Price,KUALA TERENGGANU,TELUR AYAM,B,BIJI,.43,.43,.43
Wholesale Price,KUALA TERENGGANU,TELUR AYAM,C,BIJI,.42,.42,.42
Wholesale Price,KUALA TERENGGANU,TEMBIKAI MERAH TANPA BIJI,F.A.Q,KG,3.50,3.50,3.00
Wholesale Price,KUALA TERENGGANU,TERUNG PANJANG / PEPARU (TANAH RENDAH),F.A.Q,KG,9.00,8.00,8.00
Wholesale Price,KUALA TERENGGANU,TIMUN HIJAU ,F.A.Q,KG,5.00,5.00,4.00
Wholesale Price,KUALA TERENGGANU,TOMATO (TANAH TINGGI),F.A.Q,KG,6.00,5.00,5.00
Wholesale Price,KOTA KINABALU,UBI KENTANG HOLLAND,F.A.Q,KG,4.00,3.00,3.00
Wholesale Price,KOTA KINABALU,AYAM PROSES STANDARD,F.A.Q,KG,11.50,11.50,11.00
Wholesale Price,KOTA KINABALU,AYAM PROSES SUPER,F.A.Q,KG,12.00,11.00,11.00
Wholesale Price,KOTA KINABALU,BAWANG BESAR KUNING / HOLLAND,F.A.Q,KG,7.00,6.00,6.00
Wholesale Price,KOTA KINABALU,BAWANG BESAR MERAH (IMPORT),F.A.Q,KG,7.00,7.00,6.00
Wholesale Price,KOTA KINABALU,BAWANG BESAR MERAH (INDIA),F.A.Q,KG,7.00,6.00,6.00
Wholesale Price,KOTA KINABALU,BAWANG MERAH / KECIL (IMPORT),F.A.Q,KG,12.00,12.00,10.00
Wholesale Price,KOTA KINABALU,BAWANG MERAH / KECIL (INDIA),F.A.Q,KG,10.00,10.00,9.00
Wholesale Price,KOTA KINABALU,BAWANG MERAH / KECIL (THAI),F.A.Q,KG,9.00,8.00,8.00
Wholesale Price,KOTA KINABALU,BAWANG MERAH ROSE,F.A.Q,KG,13.00,12.00,12.00
Wholesale Price,KOTA KINABALU,BAWANG PUTIH (CHINA),F.A.Q,KG,10.00,9.00,9.00
Wholesale Price,KOTA KINABALU,BAYAM ,F.A.Q,KG,5.00,5.00,4.50
Wholesale Price,KOTA KINABALU,BELIMBING (B10),F.A.Q,KG,6.00,6.00,5.00
Wholesale Price,KOTA KINABALU,BETIK SEKAKI,F.A.Q,KG,3.50,3.50,3.00
Wholesale Price,KOTA KINABALU,BUNGA KANTAN,F.A.Q,TANGKAI,3.50,3.50,3.00
Wholesale Price,KOTA KINABALU,CILI HIJAU,F.A.Q,KG,18.00,17.00,17.00
Wholesale Price,KOTA KINABALU,CILI MERAH KULAI / KULAI HIBRID,F.A.Q,KG,18.00,18.00,17.00
Wholesale Price,KOTA KINABALU,CILI MERAH MINYAK,F.A.Q,KG,20.00,20.00,19.00
Wholesale Price,KOTA KINABALU,DAUN BAWANG,F.A.Q,KG,9.50,9.00,9.00
Wholesale Price,KOTA KINABALU,DAUN SUP (TANAH TINGGI),F.A.Q,KG,11.00,10.00,10.00
Wholesale Price,KOTA KINABALU,KACANG BENDI,F.A.Q,KG,6.00,5.00,5.00
Wholesale Price,KOTA KINABALU,KACANG BUNCIS,F.A.Q,KG,9.50,9.00,9.00
Wholesale Price,KOTA KINABALU,KACANG PANJANG HIJAU,F.A.Q,KG,6.00,6.00,5.00
Wholesale Price,KOTA KINABALU,KANGKUNG,F.A.Q,KG,5.00,4.00,4.00
Wholesale Price,KOTA KINABALU,KELAPA DIKUPAS,SEDANG,BIJI,2.50,2.50,2.00
Wholesale Price,KOTA KINABALU,KELAPA PARUT,F.A.Q,KG,7.00,7.00,6.00
Wholesale Price,KOTA KINABALU,KETOLA / PETOLA SEGI,F.A.Q,KG,5.00,5.00,4.50
Wholesale Price,KOTA KINABALU,KUBIS BULAT (TANAH TINGGI),F.A.Q,KG,6.00,6.00,5.00
Wholesale Price,KOTA KINABALU,PISANG BERANGAN,F.A.Q,KG,3.50,3.50,3.00
Wholesale Price,KOTA KINABALU,PISANG MAS,F.A.Q,KG,4.00,4.00,3.50
Wholesale Price,KOTA KINABALU,SANTAN BIASA,F.A.Q,KG,9.00,8.00,8.00
Wholesale Price,KOTA KINABALU,SANTAN PEKAT,F.A.Q,KG,10.00,10.00,9.50
Wholesale Price,KOTA KINABALU,SAWI HIJAU,F.A.Q,KG,6.00,6.00,5.50
Wholesale Price,KOTA KINABALU,TELUR AYAM,A,BIJI,.48,.48,.47
Wholesale Price,KOTA KINABALU,TELUR AYAM,B,BIJI,.47,.47,.46
Wholesale Price,KOTA KINABALU,TELUR AYAM,C,BIJI,.46,.46,.45
Wholesale Price,KOTA KINABALU,TEMBIKAI MERAH,F.A.Q,KG,3.50,3.50,3.00
Wholesale Price,KOTA KINABALU,TEMBIKAI MERAH TANPA BIJI,F.A.Q,KG,3.60,3.60,3.50
Wholesale Price,KOTA KINABALU,TERUNG PANJANG / PEPARU (TANAH RENDAH),F.A.Q,KG,5.00,5.00,4.50
Wholesale Price,KOTA KINABALU,TIMUN HIJAU ,F.A.Q,KG,4.50,4.50,4.00
Wholesale Price,KOTA KINABALU,TOMATO (TANAH TINGGI),F.A.Q,KG,9.00,8.00,8.00
Wholesale Price,KUCHING,UBI KENTANG HOLLAND,F.A.Q,KG,5.00,4.50,4.50
Wholesale Price,KUCHING,AYAM HIDUP,F.A.Q,KG,8.70,8.60,8.50
Wholesale Price,KUCHING,AYAM PROSES STANDARD,F.A.Q,KG,9.30,9.30,9.30
Wholesale Price,KUCHING,AYAM PROSES SUPER,F.A.Q,KG,12.00,11.75,11.50
Wholesale Price,KUCHING,BAWANG BESAR KUNING / HOLLAND,F.A.Q,KG,4.00,3.80,3.60
Wholesale Price,KUCHING,BAWANG BESAR MERAH (INDIA),F.A.Q,KG,5.00,5.00,5.00
Wholesale Price,KUCHING,BAWANG MERAH / KECIL (INDIA),F.A.Q,KG,9.00,8.50,8.00
Wholesale Price,KUCHING,BAWANG MERAH / KECIL (THAI),F.A.Q,KG,10.00,9.50,9.00
Wholesale Price,KUCHING,BAWANG MERAH ROSE,F.A.Q,KG,5.00,5.00,5.00
Wholesale Price,KUCHING,BAWANG PUTIH (CHINA),F.A.Q,KG,9.00,8.50,8.00
Wholesale Price,KUCHING,BAYAM ,F.A.Q,KG,8.00,8.00,8.00
Wholesale Price,KUCHING,BELIMBING (B10),F.A.Q,KG,6.00,5.50,5.00
Wholesale Price,KUCHING,BETIK SEKAKI,F.A.Q,KG,4.00,4.00,4.00
Wholesale Price,KUCHING,BUNGA KANTAN,F.A.Q,TANGKAI,1.00,.95,.90
Wholesale Price,KUCHING,CILI MERAH KULAI / KULAI HIBRID,F.A.Q,KG,27.00,26.00,25.00
Wholesale Price,KUCHING,DAUN SUP (TANAH TINGGI),F.A.Q,KG,30.00,29.00,28.00
Wholesale Price,KUCHING,KACANG BENDI,F.A.Q,KG,15.00,14.00,13.00
Wholesale Price,KUCHING,KACANG BUNCIS,F.A.Q,KG,14.00,14.00,14.00
Wholesale Price,KUCHING,KACANG PANJANG HIJAU,F.A.Q,KG,9.00,9.00,9.00
Wholesale Price,KUCHING,KANGKUNG,F.A.Q,KG,7.00,7.00,7.00
Wholesale Price,KUCHING,KELAPA DIKUPAS,SEDANG,BIJI,1.50,1.40,1.30
Wholesale Price,KUCHING,KELAPA PARUT,F.A.Q,KG,5.00,5.00,5.00
Wholesale Price,KUCHING,KETOLA / PETOLA SEGI,F.A.Q,KG,10.00,9.00,8.00
Wholesale Price,KUCHING,KUBIS BULAT (CHINA),F.A.Q,KG,5.00,5.00,5.00
Wholesale Price,KUCHING,PISANG BERANGAN,F.A.Q,KG,5.00,5.00,5.00
Wholesale Price,KUCHING,PISANG MAS,F.A.Q,KG,3.50,3.50,3.50
Wholesale Price,KUCHING,SANTAN BIASA,F.A.Q,KG,7.00,7.00,7.00
Wholesale Price,KUCHING,SANTAN PEKAT,F.A.Q,KG,8.00,8.00,8.00
Wholesale Price,KUCHING,SAWI HIJAU,F.A.Q,KG,13.00,12.00,11.00
Wholesale Price,KUCHING,TELUR AYAM,A,BIJI,.45,.45,.45
Wholesale Price,KUCHING,TELUR AYAM,B,BIJI,.43,.43,.43
Wholesale Price,KUCHING,TELUR AYAM,C,BIJI,.41,.41,.41
Wholesale Price,KUCHING,TEMBIKAI MERAH,F.A.Q,KG,5.50,5.50,5.50
Wholesale Price,KUCHING,TEMBIKAI MERAH TANPA BIJI,F.A.Q,KG,5.50,5.50,5.50
Wholesale Price,KUCHING,TERUNG PANJANG / PEPARU (TANAH RENDAH),F.A.Q,KG,10.00,10.00,10.00
